DATE,USPRIV_PCH
2009-08-01,-0.18217
2009-09-01,-0.14267
2009-10-01,-0.23286
2009-11-01,-0.01116
2009-12-01,-0.18600
2010-01-01,-0.01770
2010-02-01,-0.07735
2010-03-01,0.11378
2010-04-01,0.18631
2010-05-01,0.09577
2010-06-01,0.10404
2010-07-01,0.08352
2010-08-01,0.14186
2010-09-01,0.08148
2010-10-01,0.21371
2010-11-01,0.13294
2010-12-01,0.09404
2011-01-01,0.01382
2011-02-01,0.23300
2011-03-01,0.22786
2011-04-01,0.30710
2011-05-01,0.14166
2011-06-01,0.17979
2011-07-01,0.15487
2011-08-01,0.15008
2011-09-01,0.23159
2011-10-01,0.17850
2011-11-01,0.15467
2011-12-01,0.19597
2012-01-01,0.31817
2012-02-01,0.24349
2012-03-01,0.20615
2012-04-01,0.08497
2012-05-01,0.11439
2012-06-01,0.04731
2012-07-01,0.14544
2012-08-01,0.15502
2012-09-01,0.15390
2012-10-01,0.16076
2012-11-01,0.16228
2012-12-01,0.20983
2013-01-01,0.18377
2013-02-01,0.23546
2013-03-01,0.13725
2013-04-01,0.16517
2013-05-01,0.19297
2013-06-01,0.17684
2013-07-01,0.12846
2013-08-01,0.19899
2013-09-01,0.15679
2013-10-01,0.19568
2013-11-01,0.22741
2013-12-01,0.06668
2014-01-01,0.16443
2014-02-01,0.12442
2014-03-01,0.23386
2014-04-01,0.25139
2014-05-01,0.19237
2014-06-01,0.23057
2014-07-01,0.20267
2014-08-01,0.19458
2014-09-01,0.22401
2014-10-01,0.18867
2014-11-01,0.22818
2014-12-01,0.22174
2015-01-01,0.15454
2015-02-01,0.20995
2015-03-01,0.08666
2015-04-01,0.20428
2015-05-01,0.27769
2015-06-01,0.12717
2015-07-01,0.21641
2015-08-01,0.10922
2015-09-01,0.12909
2015-10-01,0.25286
2015-11-01,0.16594
2015-12-01,0.21287
2016-01-01,0.08100
2016-02-01,0.15526
2016-03-01,0.17811
2016-04-01,0.15146
2016-05-01,0.02466
2016-06-01,0.22185
2016-07-01,0.20824
2016-08-01,0.12600
2016-09-01,0.21082
2016-10-01,0.11090
2016-11-01,0.11240
2016-12-01,0.15621
2017-01-01,0.17790
2017-02-01,0.15893
2017-03-01,0.10282
2017-04-01,0.15447
2017-05-01,0.16554
2017-06-01,0.14995
2017-07-01,0.13685
2017-08-01,0.15997
2017-09-01,0.05538
2017-10-01,0.09626
2017-11-01,0.16989
2017-12-01,0.11120
2018-01-01,0.12706
2018-02-01,0.27375
2018-03-01,0.17113
2018-04-01,0.10171
2018-05-01,0.25718
2018-06-01,0.14093
2018-07-01,0.08064
2018-08-01,0.17221
2018-09-01,0.06546
2018-10-01,0.12610
2018-11-01,0.08029
2018-12-01,0.11404
2019-01-01,0.23253
2019-02-01,-0.02665
2019-03-01,0.14974
2019-04-01,0.16126
2019-05-01,0.08441
2019-06-01,0.12416
2019-07-01,0.09125
2019-08-01,0.12467
2019-09-01,0.13697
2019-10-01,0.07694
2019-11-01,0.13668
2019-12-01,0.07212
2020-01-01,0.21234
2020-02-01,0.14306
2020-03-01,-1.07876
2020-04-01,-15.30019
2020-05-01,2.90868
2020-06-01,4.07849
2020-07-01,1.15478
2020-08-01,1.04887
2020-09-01,0.88645
2020-10-01,0.72680
2020-11-01,0.28995
2020-12-01,-0.21311
2021-01-01,0.31787
2021-02-01,0.46457
2021-03-01,0.57577
2021-04-01,0.19028
2021-05-01,0.39206
2021-06-01,0.50663
2021-07-01,0.59052
2021-08-01,0.48185
2021-09-01,0.46595
2021-10-01,0.65074
2021-11-01,0.48450
2021-12-01,0.43340
2022-01-01,0.27019
2022-02-01,0.70061
2022-03-01,0.32809
2022-04-01,0.17472
2022-05-01,0.26471
2022-06-01,0.29403
2022-07-01,0.37835
2022-08-01,0.23395
2022-09-01,0.26239
2022-10-01,0.22747
