DATE,USCONS_PCH
1997-01-01,0.00000
1997-02-01,0.82819
1997-03-01,0.50682
1997-04-01,0.22605
1997-05-01,0.50312
1997-06-01,0.00000
1997-07-01,0.41429
1997-08-01,0.49854
1997-09-01,0.47896
1997-10-01,0.15322
1997-11-01,0.27197
1997-12-01,0.66113
1998-01-01,0.75783
1998-02-01,0.23400
1998-03-01,-0.46690
1998-04-01,1.34026
1998-05-01,0.62820
1998-06-01,0.70642
1998-07-01,0.68515
1998-08-01,0.69669
1998-09-01,0.16090
1998-10-01,0.59438
1998-11-01,0.62280
1998-12-01,1.22203
1999-01-01,-0.32926
1999-02-01,1.13261
1999-03-01,-0.41997
1999-04-01,1.21837
1999-05-01,0.55556
1999-06-01,0.47575
1999-07-01,0.36658
1999-08-01,0.22828
1999-09-01,0.40996
1999-10-01,0.40829
1999-11-01,0.70783
1999-12-01,0.32900
2000-01-01,0.64093
2000-02-01,-0.32583
2000-03-01,1.20357
2000-04-01,-0.24960
2000-05-01,-0.35325
2000-06-01,0.11817
2000-07-01,0.23606
2000-08-01,0.02944
2000-09-01,0.16186
2000-10-01,0.10284
2000-11-01,0.04403
2000-12-01,-0.36673
2001-01-01,0.47114
2001-02-01,0.24912
2001-03-01,0.30697
2001-04-01,-0.26231
2001-05-01,0.07306
2001-06-01,-0.13141
2001-07-01,0.07310
2001-08-01,-0.26297
2001-09-01,-0.20507
2001-10-01,-0.13210
2001-11-01,-0.29394
2001-12-01,0.01474
2002-01-01,-0.14738
2002-02-01,-0.13284
2002-03-01,-0.16258
2002-04-01,-0.66617
2002-05-01,-0.38748
2002-06-01,0.25434
2002-07-01,-0.19400
2002-08-01,0.19438
2002-09-01,0.01492
2002-10-01,-0.19397
2002-11-01,0.35880
2002-12-01,-0.19365
2003-01-01,0.05970
2003-02-01,-0.55191
2003-03-01,-0.19499
2003-04-01,0.52600
2003-05-01,0.25415
2003-06-01,0.25350
2003-07-01,0.17849
2003-08-01,0.37120
2003-09-01,0.34024
2003-10-01,0.01474
2003-11-01,0.17689
2003-12-01,0.45615
2004-01-01,0.30760
2004-02-01,-0.14603
2004-03-01,0.71658
2004-04-01,0.20328
2004-05-01,0.68106
2004-06-01,0.20150
2004-07-01,0.21546
2004-08-01,0.37265
2004-09-01,0.37127
2004-10-01,0.68289
2004-11-01,0.19782
2004-12-01,0.36666
2005-01-01,-0.30912
2005-02-01,0.81748
2005-03-01,0.39144
2005-04-01,1.18368
2005-05-01,0.38536
2005-06-01,0.53469
2005-07-01,0.27274
2005-08-01,0.55760
2005-09-01,0.28401
2005-10-01,0.60688
2005-11-01,0.85791
2005-12-01,0.11962
2006-01-01,0.90269
2006-02-01,0.82884
2006-03-01,0.32620
2006-04-01,0.48121
2006-05-01,-0.16826
2006-06-01,-0.18151
2006-07-01,0.16885
2006-08-01,0.10373
2006-09-01,-0.02591
2006-10-01,-0.46644
2006-11-01,-0.20828
2006-12-01,0.24785
2007-01-01,0.52049
2007-02-01,-1.28155
2007-03-01,1.04904
2007-04-01,-0.25954
2007-05-01,-0.16914
2007-06-01,0.18246
2007-07-01,-0.35124
2007-08-01,-0.65274
2007-09-01,-0.43364
2007-10-01,-0.15837
2007-11-01,-0.55519
2007-12-01,-0.43865
2008-01-01,-0.18692
2008-02-01,-0.30765
2008-03-01,-0.63062
2008-04-01,-1.06670
2008-05-01,-0.72335
2008-06-01,-0.83860
2008-07-01,-0.73478
2008-08-01,-0.64246
2008-09-01,-0.98398
2008-10-01,-1.09313
2008-11-01,-2.21042
2008-12-01,-1.64392
2009-01-01,-1.99970
2009-02-01,-1.84255
2009-03-01,-2.40459
2009-04-01,-2.17771
2009-05-01,-0.87748
2009-06-01,-1.47541
2009-07-01,-1.29784
2009-08-01,-1.29804
2009-09-01,-1.16140
2009-10-01,-1.22689
2009-11-01,-0.34990
2009-12-01,-0.73736
2010-01-01,-1.30881
2010-02-01,-1.43369
2010-03-01,0.67273
2010-04-01,0.28897
2010-05-01,-0.59427
2010-06-01,-0.07246
2010-07-01,-0.14503
2010-08-01,0.29049
2010-09-01,-0.41636
2010-10-01,0.12725
2010-11-01,-0.03631
2010-12-01,-0.70832
2011-01-01,-0.73166
2011-02-01,0.44223
2011-03-01,0.47698
2011-04-01,0.14607
2011-05-01,0.56518
2011-06-01,0.21755
2011-07-01,0.34370
2011-08-01,0.09014
2011-09-01,0.57637
2011-10-01,0.07163
2011-11-01,0.08948
2011-12-01,0.32183
2012-01-01,0.26733
2012-02-01,0.05332
2012-03-01,-0.07106
2012-04-01,-0.12444
2012-05-01,-0.24920
2012-06-01,0.30335
2012-07-01,0.19569
2012-08-01,0.28409
2012-09-01,0.23017
2012-10-01,0.22964
2012-11-01,0.17624
2012-12-01,0.70373
2013-01-01,0.38435
2013-02-01,0.66133
2013-03-01,0.31120
2013-04-01,-0.10341
2013-05-01,0.56936
2013-06-01,0.44605
2013-07-01,0.06832
2013-08-01,0.32429
2013-09-01,0.54440
2013-10-01,0.35533
2013-11-01,0.53954
2013-12-01,-0.51987
2014-01-01,0.89346
2014-02-01,0.36759
2014-03-01,0.51606
2014-04-01,0.76184
2014-05-01,0.41091
2014-06-01,0.39286
2014-07-01,0.73374
2014-08-01,0.51797
2014-09-01,0.51530
2014-10-01,0.27235
2014-11-01,0.20770
2014-12-01,0.33482
2015-01-01,0.42905
2015-02-01,0.64873
2015-03-01,-0.42446
2015-04-01,0.91569
2015-05-01,0.54756
2015-06-01,0.21783
2015-07-01,0.48129
2015-08-01,0.27812
2015-09-01,0.27735
2015-10-01,0.59926
2015-11-01,0.77898
2015-12-01,0.48500
2016-01-01,0.01508
2016-02-01,0.13573
2016-03-01,0.57229
2016-04-01,0.35939
2016-05-01,-0.19397
2016-06-01,0.17940
2016-07-01,0.50739
2016-08-01,0.01485
2016-09-01,0.47506
2016-10-01,0.45804
2016-11-01,0.35299
2016-12-01,-0.07328
2017-01-01,0.32268
2017-02-01,0.59942
2017-03-01,0.30519
2017-04-01,0.20284
2017-05-01,0.21689
2017-06-01,0.44727
2017-07-01,0.08618
2017-08-01,0.48794
2017-09-01,0.15710
2017-10-01,0.25667
2017-11-01,0.52624
2017-12-01,0.32541
2018-01-01,0.02820
2018-02-01,1.28296
2018-03-01,0.13920
2018-04-01,0.25021
2018-05-01,0.85968
2018-06-01,0.24746
2018-07-01,0.35656
2018-08-01,0.39628
2018-09-01,0.38111
2018-10-01,0.18983
2018-11-01,-0.04060
2018-12-01,0.13539
2019-01-01,0.37858
2019-02-01,-0.37716
2019-03-01,0.35154
2019-04-01,0.49852
2019-05-01,0.36198
2019-06-01,0.33396
2019-07-01,0.18639
2019-08-01,0.06645
2019-09-01,0.27888
2019-10-01,0.06622
2019-11-01,-0.14558
2019-12-01,-0.22531
2020-01-01,0.69075
2020-02-01,0.36939
2020-03-01,-0.90694
2020-04-01,-13.42353
2020-05-01,7.38471
2020-06-01,2.29705
2020-07-01,0.34868
2020-08-01,0.41696
2020-09-01,0.42907
2020-10-01,0.74421
2020-11-01,0.09576
2020-12-01,0.51934
2021-01-01,0.10877
2021-02-01,-0.97786
2021-03-01,1.42642
